10.1037//0022-0663.84.4.429
10.1145/642625.642626
10.1016/S0364-0213(84)80003-8
10.5555/1289765.1289767
10.1023/A:1023084706295
10.5555/3113186.3113340
10.1023/A:1026582022824
10.1007/s007790200047
10.5555/647653.732300
10.2312/EGSH. 20171000
10.5555/3128975.3129004
10.5555/647987.741324
10.5555/2870721.2870732
10.2312/egsh.20171000
10.5555/832288.835738
10.1109/IROS.2011.6048348
10.5555/857202.858134
10.2312/EGVE/EGVE08/017-024
10.1023/A:1019194325861
10.5555/582828.881323
10.5555/850976.854967
10.24425/bpasts.2019.130886
10.5555/582828.881324
10.5555/2383654.2383668
10.5555/1703435.1703733
10.5555/1839214.1839261
10.3233/978-1-61499-209-7-279
10.5555/2383696.2383708
10.1109/MC.2012.154.3
10.1145/2185520.2185575.12
10.2312/vcbm.20211354
10.5555/2383894.2383925
10.5555/2384436.2384446
10.5555/1735603.1735621
10.5555/946248.946795
